,data,sigla_estado,total_casos,total_obitos,novos_casos,novos_obitos,mm_7dias_novos_casos,mm_7dias_novos_obitos,pop,cod_uf,estado,total_casos%,total_obitos%,novos_casos%,novos_obitos%,mm_7dias_novos_casos%,mm_7dias_novos_obitos%
142,2020-03-18,PB,1.0,0.0,1.0,0.0,0.0,0.0,4018127,25,Paraíba,0.02488721735276162,0.0,0.02488721735276162,0.0,0.0,0.0
143,2020-03-18,PE,16.0,0.0,0.0,0.0,2.0,0.0,9557071,26,Pernambuco,0.16741530956503306,0.0,0.0,0.0,0.020926913695629133,0.0
144,2020-03-18,PR,15.0,0.0,3.0,0.0,1.4285714285714284,0.0,11433957,41,Paraná,0.13118817921039935,0.0,0.026237635842079866,0.0,0.012494112305752316,0.0
145,2020-03-18,RJ,63.0,0.0,38.0,0.0,8.428571428571429,0.0,17264943,33,Rio de Janeiro,0.364901291594186,0.0,0.2200991917552233,0.0,0.048818993659993135,0.0
146,2020-03-18,RN,1.0,0.0,0.0,0.0,0.14285714285714285,0.0,3506853,24,Rio Grande do Norte,0.028515595036347402,0.0,0.0,0.0,0.004073656433763915,0.0
147,2020-03-18,RS,19.0,0.0,11.0,0.0,2.2857142857142856,0.0,11377239,43,Rio Grande do Sul,0.16700009554163361,0.0,0.09668426583989315,0.0,0.020090237057640133,0.0
148,2020-03-18,SC,14.0,0.0,7.0,0.0,0.7142857142857143,0.0,7164788,42,Santa Catarina,0.19540005928996085,0.0,0.09770002964498042,0.0,0.009969390780100043,0.0
149,2020-03-18,SE,6.0,0.0,1.0,0.0,0.0,0.0,2298696,28,Sergipe,0.26101755082011713,0.0,0.04350292513668619,0.0,0.0,0.0
150,2020-03-18,SP,241.0,3.0,77.0,2.0,26.57142857142857,0.42857142857142855,45919049,35,São Paulo,0.5248366533026414,0.00653323634816566,0.16768639960291862,0.004355490898777107,0.05786580765518155,0.0009333194783093799
151,2020-03-18,TO,1.0,0.0,1.0,0.0,0.0,0.0,1572866,17,Tocantins,0.06357820691654598,0.0,0.06357820691654598,0.0,0.0,0.0
152,2020-03-19,AC,4.0,0.0,1.0,0.0,0.0,0.0,881935,12,Acre,0.4535481639803387,0.0,0.11338704099508468,0.0,0.0,0.0
